File,Column,Basis Function,Coefficient,Average Value of Wind/Solar,Installation Capacity (MW)
WeatherAthenryProcessed.csv,wdsp^3,0.0,0.0131319175647269,610.0821152772209,20.028870113836692
WeatherAthenryProcessed.csv,glorad,1.0,-1.975132976167212,944.7386665829888,9329.92247114151
WeatherBallyhaiseProcessed.csv,wdsp^3,2.0,-0.1172025227583832,440.5769204547943,129.09181636605354
WeatherBallyhaiseProcessed.csv,glorad,3.0,0.3229362838467082,895.4103718971244,1445.8024900912815
WeatherCarlowOakparkProcessed.csv,wdsp^3,4.0,3.44906530540878,715.1245168786801,6166.277900533678
WeatherCarlowOakparkProcessed.csv,glorad,5.0,0.8258884993923296,947.7615474027712,3913.726810831134
WeatherClaremorrisProcessed.csv,wdsp^3,6.0,0.8185899033434579,1103.8291768734084,2258.95854801123
WeatherClaremorrisProcessed.csv,glorad,7.0,-2.0541857458752184,903.5077862504056,9279.864079014284
WeatherDunsanyProcessed.csv,wdsp^3,8.0,-0.580176142178708,846.1393991842724,1227.2747309103527
,,9.0,-0.035233175308557,343.30034799629544,0.0
WeatherFermoyMoorepackProcessed.csv,wdsp^3,10.0,1.8682672190056169,935.999817259263,4371.744438951821
WeatherFermoyMoorepackProcessed.csv,glorad,11.0,-1.3406557809375026,1939.296307208772,12999.644026050955
WeatherFinnerProcessed.csv,wdsp^3,12.0,-0.088989891093272,951.09631750762,211.5948942855379
WeatherDunsanyProcessed.csv,glorad,13.0,-0.0143796840320449,915.5604823995776,65.82735224566265
WeatherGurteenProcessed.csv,wdsp^3,14.0,0.3632391732473677,947.7749206453128,860.6724464994824
WeatherGurteenProcessed.csv,glorad,15.0,-0.0029126856882435,954.5590194663438,13.90165197291684
WeatherJohnstownCastleProcessed.csv,wdsp^3,16.0,1.287173970590635,1023.4602903038224,3293.428614030538
WeatherJohnstownCastleProcessed.csv,glorad,17.0,0.5324892998140032,5008.552000165961,13335.001738251987
WeatherMaceHeadProcessed.csv,wdsp^3,18.0,-2.298233783784927,1019.9600035524908,5860.26634568432
WeatherMaceHeadProcessed.csv,glorad,19.0,0.0080597478606868,698.7438794421626,28.158497437509826
WeatherMountDillonProcessed.csv,wdsp^3,20.0,-0.7496519483152253,889.0688881486094,1666.2305604676403
WeatherMountDillonProcessed.csv,glorad,21.0,0.4702345187986879,705.775933615906,1659.4010326178511
WeatherMullingarProcessed.csv,wdsp^3,22.0,-0.3792037330227533,916.5291629807128,868.8782000662644
WeatherMullingarProcessed.csv,glorad,23.0,0.0002801212316727,3002.1232770574115,4.204792350013022
WeatherRochesPointProcessed.csv,wdsp^3,24.0,1.101950374548851,1048.9943371941345,2889.8492569267505
WeatherRochesPointProcessed.csv,glorad,25.0,-0.0044770988449395,3210.177303972793,71.86140549833794
WeatherSherkinIslandProcessed.csv,wdsp^3,26.0,2.573292003281933,1083.6021492717389,6971.061863650202
WeatherSherkinIslandProcessed.csv,glorad,,,,
